  101  101
    0    0  8.392157e-001
    0    1  8.392157e-001
    0    2  8.549020e-001
    0    3  8.509804e-001
    0    4  8.392157e-001
    0    5  8.196078e-001
    0    6  8.039216e-001
    0    7  8.156863e-001
    0    8  8.470588e-001
    0    9  8.784314e-001
    0   10  8.980392e-001
    0   11  9.176471e-001
    0   12  9.215686e-001
    0   13  9.215686e-001
    0   14  9.333333e-001
    0   15  9.254902e-001
    0   16  9.058824e-001
    0   17  8.980392e-001
    0   18  9.019608e-001
    0   19  8.941176e-001
    0   20  8.823529e-001
    0   21  8.862745e-001
    0   22  8.980392e-001
    0   23  9.019608e-001
    0   24  9.058824e-001
    0   25  9.176471e-001
    0   26  9.176471e-001
    0   27  8.980392e-001
    0   28  8.823529e-001
    0   29  8.784314e-001
    0   30  8.745098e-001
    0   31  8.627451e-001
    0   32  8.470588e-001
    0   33  8.509804e-001
    0   34  8.588235e-001
    0   35  8.549020e-001
    0   36  8.509804e-001
    0   37  8.705882e-001
    0   38  8.823529e-001
    0   39  9.215686e-001
    0   40  9.490196e-001
    0   41  9.333333e-001
    0   42  9.019608e-001
    0   43  9.019608e-001
    0   44  9.137255e-001
    0   45  9.137255e-001
    0   46  9.294118e-001
    0   47  9.686275e-001
    0   48  9.882353e-001
    0   49  9.725490e-001
    0   50  9.333333e-001
    0   51  9.137255e-001
    0   52  9.215686e-001
    0   53  9.411765e-001
    0   54  9.254902e-001
    0   55  9.058824e-001
    0   56  8.784314e-001
    0   57  8.705882e-001
    0   58  8.705882e-001
    0   59  8.549020e-001
    0   60  8.235294e-001
    0   61  8.274510e-001
    0   62  8.313725e-001
    0   63  8.000000e-001
    0   64  7.882353e-001
    0   65  8.156863e-001
    0   66  8.352941e-001
    0   67  8.705882e-001
    0   68  9.137255e-001
    0   69  9.215686e-001
    0   70  9.215686e-001
    0   71  9.019608e-001
    0   72  8.823529e-001
    0   73  8.784314e-001
    0   74  8.784314e-001
    0   75  8.627451e-001
    0   76  8.549020e-001
    0   77  8.784314e-001
    0   78  8.705882e-001
    0   79  8.862745e-001
    0   80  9.176471e-001
    0   81  9.411765e-001
    0   82  9.450980e-001
    0   83  9.411765e-001
    0   84  9.333333e-001
    0   85  9.176471e-001
    0   86  9.215686e-001
    0   87  9.176471e-001
    0   88  9.137255e-001
    0   89  9.254902e-001
    0   90  9.411765e-001
    0   91  9.294118e-001
    0   92  9.215686e-001
    0   93  9.176471e-001
    0   94  9.058824e-001
    0   95  9.254902e-001
    0   96  9.450980e-001
    0   97  9.294118e-001
    0   98  9.215686e-001
    0   99  9.490196e-001
    0  100  7.019608e-001
    1    0  8.196078e-001
    1    1  8.274510e-001
    1    2  8.509804e-001
    1    3  8.549020e-001
    1    4  8.470588e-001
    1    5  8.352941e-001
    1    6  8.156863e-001
    1    7  8.078431e-001
    1    8  8.196078e-001
    1    9  8.392157e-001
    1   10  8.627451e-001
    1   11  8.941176e-001
    1   12  9.098039e-001
    1   13  9.137255e-001
    1   14  9.176471e-001
    1   15  9.098039e-001
    1   16  8.862745e-001
    1   17  8.666667e-001
    1   18  8.549020e-001
    1   19  8.470588e-001
    1   20  8.509804e-001
    1   21  8.745098e-001
    1   22  8.784314e-001
    1   23  8.823529e-001
    1   24  8.941176e-001
    1   25  9.058824e-001
    1   26  9.019608e-001
    1   27  8.745098e-001
    1   28  8.509804e-001
    1   29  8.627451e-001
    1   30  8.666667e-001
    1   31  8.666667e-001
    1   32  8.549020e-001
    1   33  8.509804e-001
    1   34  8.470588e-001
    1   35  8.431373e-001
    1   36  8.431373e-001
    1   37  8.470588e-001
    1   38  8.666667e-001
    1   39  9.058824e-001
    1   40  9.333333e-001
    1   41  9.294118e-001
    1   42  9.098039e-001
    1   43  9.098039e-001
    1   44  9.058824e-001
    1   45  8.901961e-001
    1   46  9.137255e-001
    1   47  9.529412e-001
    1   48  9.764706e-001
    1   49  9.647059e-001
    1   50  9.333333e-001
