3	5	15					
1 0.025	0.0003	0.0122	0.025	0.045	0.10
0	0	0	0	0	0
0.1	0.00153	0.0033	0.00425	0.0054	0.0085
1	0.0152	0.03	0.04	0.05	0.08
2	0.0299	0.06	0.08	0.10	0.15
5	0.071	0.14	0.18	0.22	0.31
8	0.109	0.21	0.26	0.31	0.43
10	0.133	0.25	0.30	0.36	0.49
20	0.235	0.40	0.47	0.53	0.68
30	0.315	0.50	0.57	0.63	0.78
50	0.435	0.62	0.68	0.76	0.88
100	0.607	0.77	0.82	0.87	0.97
200	0.754	0.87	0.91	0.95	1.03
500	0.875	0.95	0.97	1.00	1.07
1000	0.934	0.97	0.99	1.01	1.08
2000	0.95	0.97	1.00	1.01	1.08		
2 0.05	0.0003	0.0112	0.025	0.045	0.10
0	0	0.00	0	0.00	0
0.1	0.00308	0.01	0.0086	0.01	0.017
1	0.0299	0.06	0.08	0.10	0.15
2	0.0579	0.12	0.15	0.18	0.27
5	0.132	0.25	0.30	0.36	0.48
8	0.196	0.34	0.41	0.47	0.62
10	0.234	0.39	0.46	0.53	0.67
20	0.378	0.56	0.63	0.69	0.82
30	0.474	0.66	0.71	0.77	0.89
50	0.596	0.75	0.80	0.85	0.95
100	0.738	0.85	0.88	0.92	1.00
200	0.839	0.91	0.93	0.97	1.03
500	0.914	0.94	0.96	0.99	1.05
1000	0.934	0.96	0.97	1.00	1.06
2000	0.95	0.97	0.98	1.00	1.06			
3 0.1	0.0003	0.0112	0.025	0.045	0.10
0	0	0	0	0	0
0.1	0.0061	0.01	0.0168	0.02	0.0345
1	0.0575	0.11	0.15	0.18	0.26
2	0.108	0.20	0.25	0.31	0.42
5	0.229	0.38	0.45	0.51	0.65
8	0.3198	0.49	0.56	0.62	0.75
10	0.368	0.54	0.61	0.67	0.79
20	0.525	0.68	0.74	0.79	0.88
30	0.612	0.75	0.79	0.83	0.92
50	0.708	0.80	0.84	0.87	0.95
100	0.799	0.86	0.88	0.91	0.98
200	0.855	0.89	0.91	0.93	0.99
500	0.8938	0.91	0.92	0.94	1.00
1000	0.904	0.91	0.92	0.94	1.00
2000	0.904	0.91	0.92	0.94	1.00
