 LOADING REGIME
 TIME,DEF.ENERGY,SPEC.DEF.ENERGY,VOLUME
  0.20000E-01,  0.66009E-01,  0.11157E-02,  0.59165E+02
  0.40000E-01,  0.44436E+00,  0.74973E-02,  0.59269E+02
  0.60000E-01,  0.15496E+01,  0.26061E-01,  0.59463E+02
  0.80000E-01,  0.37317E+01,  0.62463E-01,  0.59742E+02
  0.10000E+00,  0.71208E+01,  0.11848E+00,  0.60100E+02
  0.12000E+00,  0.66879E+01,  0.11126E+00,  0.60111E+02
  0.14000E+00,  0.66413E+01,  0.11043E+00,  0.60139E+02
  0.16000E+00,  0.69326E+01,  0.11517E+00,  0.60196E+02
  0.18000E+00,  0.75899E+01,  0.12590E+00,  0.60286E+02
  0.20000E+00,  0.85968E+01,  0.14230E+00,  0.60414E+02
  0.22000E+00,  0.85995E+01,  0.14224E+00,  0.60458E+02
  0.24000E+00,  0.88202E+01,  0.14576E+00,  0.60514E+02
  0.26000E+00,  0.92003E+01,  0.15185E+00,  0.60589E+02
  0.28000E+00,  0.97482E+01,  0.16063E+00,  0.60687E+02
  0.30000E+00,  0.10423E+02,  0.17140E+00,  0.60810E+02
  0.32000E+00,  0.97356E+01,  0.16037E+00,  0.60706E+02
  0.34000E+00,  0.93494E+01,  0.15421E+00,  0.60627E+02
  0.36000E+00,  0.91671E+01,  0.15134E+00,  0.60572E+02
  0.38000E+00,  0.91824E+01,  0.15166E+00,  0.60547E+02
  0.40000E+00,  0.93539E+01,  0.15451E+00,  0.60540E+02
  0.42000E+00,  0.94033E+01,  0.15510E+00,  0.60627E+02
  0.44000E+00,  0.95768E+01,  0.15773E+00,  0.60716E+02
  0.46000E+00,  0.98513E+01,  0.16197E+00,  0.60821E+02
  0.48000E+00,  0.10223E+02,  0.16772E+00,  0.60950E+02
  0.50000E+00,  0.10603E+02,  0.17354E+00,  0.61098E+02
  0.52000E+00,  0.96152E+01,  0.15761E+00,  0.61005E+02
  0.54000E+00,  0.88327E+01,  0.14502E+00,  0.60905E+02
  0.56000E+00,  0.82196E+01,  0.13514E+00,  0.60821E+02
  0.58000E+00,  0.77680E+01,  0.12785E+00,  0.60759E+02
  0.60000E+00,  0.74816E+01,  0.12321E+00,  0.60724E+02
REVERSE LOADING REGIME
TIME,DEF.ENERGY,SPEC.DEF.ENERGY,VOLUME,HYSTERETIC ENERGY
   0.6000E+00,   0.7482E+01,   0.1232E+00,   0.6072E+02,   0.0000E+00
   0.5900E+00,   0.7798E+01,   0.1284E+00,   0.6072E+02,  -0.2995E-01
   0.5800E+00,   0.8157E+01,   0.1342E+00,   0.6077E+02,   0.6255E-01
   0.5700E+00,   0.8533E+01,   0.1403E+00,   0.6083E+02,   0.2997E+00
   0.5600E+00,   0.8958E+01,   0.1471E+00,   0.6091E+02,   0.6574E+00
   0.5500E+00,   0.9409E+01,   0.1543E+00,   0.6099E+02,   0.1193E+01
   0.5400E+00,   0.9891E+01,   0.1620E+00,   0.6107E+02,   0.3318E+00
   0.5300E+00,   0.1040E+02,   0.1700E+00,   0.6117E+02,  -0.5491E+00
   0.5200E+00,   0.1094E+02,   0.1785E+00,   0.6127E+02,  -0.1361E+01
   0.5100E+00,   0.1151E+02,   0.1875E+00,   0.6138E+02,  -0.2106E+01
   0.5000E+00,   0.1211E+02,   0.1970E+00,   0.6150E+02,  -0.2761E+01
